--------- beginning of main
08-25 17:47:56.796 27960 27960 D TemperatureHistoryAnalyzer: Point 126: 28.18°C at 2025-08-21 17:35:58 [EXCURSION]
08-25 17:47:56.796 27960 27960 D TemperatureHistoryAnalyzer: Point 127: 28.18°C at 2025-08-21 17:36:08 [EXCURSION]
08-25 17:47:56.796 27960 27960 D TemperatureHistoryAnalyzer: Point 128: 28.18°C at 2025-08-21 17:36:18 [EXCURSION]
08-25 17:47:56.796 27960 27960 D TemperatureHistoryAnalyzer: Point 129: 28.18°C at 2025-08-21 17:36:28 [EXCURSION]
08-25 17:47:56.797 27960 27960 D TemperatureHistoryAnalyzer: Point 130: 28.18°C at 2025-08-21 17:36:38 [EXCURSION]
08-25 17:47:56.797 27960 27960 D TemperatureHistoryAnalyzer: Point 131: 28.21°C at 2025-08-21 17:36:48 [EXCURSION]
08-25 17:47:56.797 27960 27960 D TemperatureHistoryAnalyzer: Point 132: 28.14°C at 2025-08-21 17:36:58 [EXCURSION]
08-25 17:47:56.797 27960 27960 D TemperatureHistoryAnalyzer: Point 133: 28.21°C at 2025-08-21 17:37:08 [EXCURSION]
08-25 17:47:56.797 27960 27960 D TemperatureHistoryAnalyzer: Point 134: 28.21°C at 2025-08-21 17:37:18 [EXCURSION]
08-25 17:47:56.797 27960 27960 D TemperatureHistoryAnalyzer: Point 135: 28.18°C at 2025-08-21 17:37:28 [EXCURSION]
08-25 17:47:56.797 27960 27960 D TemperatureHistoryAnalyzer: Point 136: 28.18°C at 2025-08-21 17:37:38 [EXCURSION]
08-25 17:47:56.797 27960 27960 D TemperatureHistoryAnalyzer: Point 137: 28.18°C at 2025-08-21 17:37:48 [EXCURSION]
08-25 17:47:56.797 27960 27960 D TemperatureHistoryAnalyzer: Point 138: 28.18°C at 2025-08-21 17:37:58 [EXCURSION]
08-25 17:47:56.797 27960 27960 D TemperatureHistoryAnalyzer: Point 139: 28.18°C at 2025-08-21 17:38:08 [EXCURSION]
08-25 17:47:56.797 27960 27960 D TemperatureHistoryAnalyzer: Point 140: 28.18°C at 2025-08-21 17:38:18 [EXCURSION]
08-25 17:47:56.797 27960 27960 D TemperatureHistoryAnalyzer: Point 141: 28.18°C at 2025-08-21 17:38:28 [EXCURSION]
08-25 17:47:56.797 27960 27960 D TemperatureHistoryAnalyzer: Point 142: 28.18°C at 2025-08-21 17:38:38 [EXCURSION]
08-25 17:47:56.798 27960 27960 D TemperatureHistoryAnalyzer: Point 143: 28.21°C at 2025-08-21 17:38:48 [EXCURSION]
08-25 17:47:56.798 27960 27960 D TemperatureHistoryAnalyzer: Point 144: 28.18°C at 2025-08-21 17:38:58 [EXCURSION]
08-25 17:47:56.798 27960 27960 D TemperatureHistoryAnalyzer: Point 145: 28.18°C at 2025-08-21 17:39:08 [EXCURSION]
08-25 17:47:56.798 27960 27960 D TemperatureHistoryAnalyzer: Point 146: 28.21°C at 2025-08-21 17:39:18 [EXCURSION]
08-25 17:47:56.798 27960 27960 D TemperatureHistoryAnalyzer: Point 147: 28.21°C at 2025-08-21 17:39:28 [EXCURSION]
08-25 17:47:56.798 27960 27960 D TemperatureHistoryAnalyzer: Point 148: 28.21°C at 2025-08-21 17:39:38 [EXCURSION]
08-25 17:47:56.798 27960 27960 D TemperatureHistoryAnalyzer: Point 149: 28.18°C at 2025-08-21 17:39:48 [EXCURSION]
08-25 17:47:56.798 27960 27960 D TemperatureHistoryAnalyzer: Point 150: 28.18°C at 2025-08-21 17:39:58 [EXCURSION]
08-25 17:47:56.798 27960 27960 D TemperatureHistoryAnalyzer: Point 151: 28.21°C at 2025-08-21 17:40:08 [EXCURSION]
08-25 17:47:56.798 27960 27960 D TemperatureHistoryAnalyzer: Point 152: 28.21°C at 2025-08-21 17:40:18 [EXCURSION]
08-25 17:47:56.799 27960 27960 D TemperatureHistoryAnalyzer: Point 153: 28.21°C at 2025-08-21 17:40:28 [EXCURSION]
08-25 17:47:56.799 27960 27960 D TemperatureHistoryAnalyzer: Point 154: 28.21°C at 2025-08-21 17:40:38 [EXCURSION]
08-25 17:47:56.799 27960 27960 D TemperatureHistoryAnalyzer: Point 155: 28.18°C at 2025-08-21 17:40:48 [EXCURSION]
08-25 17:47:56.799 27960 27960 D TemperatureHistoryAnalyzer: Point 156: 28.21°C at 2025-08-21 17:40:58 [EXCURSION]
08-25 17:47:56.799 27960 27960 D TemperatureHistoryAnalyzer: Point 157: 28.21°C at 2025-08-21 17:41:08 [EXCURSION]
08-25 17:47:56.799 27960 27960 D TemperatureHistoryAnalyzer: Point 158: 28.18°C at 2025-08-21 17:41:18 [EXCURSION]
08-25 17:47:56.799 27960 27960 D TemperatureHistoryAnalyzer: Point 159: 28.21°C at 2025-08-21 17:41:28 [EXCURSION]
08-25 17:47:56.799 27960 27960 D TemperatureHistoryAnalyzer: Point 160: 28.21°C at 2025-08-21 17:41:38 [EXCURSION]
08-25 17:47:56.799 27960 27960 D TemperatureHistoryAnalyzer: Point 161: 28.21°C at 2025-08-21 17:41:48 [EXCURSION]
08-25 17:47:56.799 27960 27960 D TemperatureHistoryAnalyzer: Point 162: 28.21°C at 2025-08-21 17:41:58 [EXCURSION]
08-25 17:47:56.799 27960 27960 D TemperatureHistoryAnalyzer: Point 163: 28.21°C at 2025-08-21 17:42:08 [EXCURSION]
08-25 17:47:56.799 27960 27960 D TemperatureHistoryAnalyzer: Point 164: 28.21°C at 2025-08-21 17:42:18 [EXCURSION]
08-25 17:47:56.799 27960 27960 D TemperatureHistoryAnalyzer: Point 165: 28.21°C at 2025-08-21 17:42:28 [EXCURSION]
08-25 17:47:56.799 27960 27960 D TemperatureHistoryAnalyzer: Point 166: 28.21°C at 2025-08-21 17:42:38 [EXCURSION]
08-25 17:47:56.799 27960 27960 D TemperatureHistoryAnalyzer: Point 167: 28.25°C at 2025-08-21 17:42:48 [EXCURSION]
08-25 17:47:56.800 27960 27960 D TemperatureHistoryAnalyzer: Point 168: 28.21°C at 2025-08-21 17:42:58 [EXCURSION]
08-25 17:47:56.800 27960 27960 D TemperatureHistoryAnalyzer: Point 169: 28.21°C at 2025-08-21 17:43:08 [EXCURSION]
08-25 17:47:56.800 27960 27960 D TemperatureHistoryAnalyzer: Point 170: 28.21°C at 2025-08-21 17:43:18 [EXCURSION]
08-25 17:47:56.800 27960 27960 D TemperatureHistoryAnalyzer: Point 171: 28.21°C at 2025-08-21 17:43:28 [EXCURSION]
08-25 17:47:56.800 27960 27960 D TemperatureHistoryAnalyzer: Point 172: 28.21°C at 2025-08-21 17:43:38 [EXCURSION]
08-25 17:47:56.800 27960 27960 D TemperatureHistoryAnalyzer: Point 173: 28.25°C at 2025-08-21 17:43:48 [EXCURSION]
08-25 17:47:56.800 27960 27960 D TemperatureHistoryAnalyzer: Point 174: 28.25°C at 2025-08-21 17:43:58 [EXCURSION]
08-25 17:47:56.800 27960 27960 D TemperatureHistoryAnalyzer: Point 175: 28.21°C at 2025-08-21 17:44:08 [EXCURSION]
08-25 17:47:56.800 27960 27960 D TemperatureHistoryAnalyzer: Point 176: 28.21°C at 2025-08-21 17:44:18 [EXCURSION]
08-25 17:47:56.800 27960 27960 D TemperatureHistoryAnalyzer: Point 177: 28.21°C at 2025-08-21 17:44:28 [EXCURSION]
08-25 17:47:56.800 27960 27960 D TemperatureHistoryAnalyzer: Point 178: 28.21°C at 2025-08-21 17:44:38 [EXCURSION]
08-25 17:47:56.800 27960 27960 D TemperatureHistoryAnalyzer: Point 179: 28.21°C at 2025-08-21 17:44:48 [EXCURSION]
08-25 17:47:56.800 27960 27960 D TemperatureHistoryAnalyzer: Point 180: 28.21°C at 2025-08-21 17:44:58 [EXCURSION]
08-25 17:47:56.800 27960 27960 D TemperatureHistoryAnalyzer: Point 181: 28.25°C at 2025-08-21 17:45:08 [EXCURSION]
08-25 17:47:56.800 27960 27960 D TemperatureHistoryAnalyzer: Point 182: 28.21°C at 2025-08-21 17:45:18 [EXCURSION]
08-25 17:47:56.800 27960 27960 D TemperatureHistoryAnalyzer: Point 183: 28.25°C at 2025-08-21 17:45:28 [EXCURSION]
08-25 17:47:56.800 27960 27960 D TemperatureHistoryAnalyzer: Point 184: 28.25°C at 2025-08-21 17:45:38 [EXCURSION]
08-25 17:47:56.801 27960 27960 D TemperatureHistoryAnalyzer: Point 185: 28.25°C at 2025-08-21 17:45:48 [EXCURSION]
08-25 17:47:56.801 27960 27960 D TemperatureHistoryAnalyzer: Point 186: 28.25°C at 2025-08-21 17:45:58 [EXCURSION]
08-25 17:47:56.801 27960 27960 D TemperatureHistoryAnalyzer: Point 187: 28.25°C at 2025-08-21 17:46:08 [EXCURSION]
08-25 17:47:56.801 27960 27960 D TemperatureHistoryAnalyzer: Point 188: 28.29°C at 2025-08-21 17:46:18 [EXCURSION]
08-25 17:47:56.801 27960 27960 D TemperatureHistoryAnalyzer: Point 189: 28.25°C at 2025-08-21 17:46:28 [EXCURSION]
08-25 17:47:56.801 27960 27960 D TemperatureHistoryAnalyzer: Point 190: 28.21°C at 2025-08-21 17:46:38 [EXCURSION]
08-25 17:47:56.801 27960 27960 D TemperatureHistoryAnalyzer: Point 191: 28.25°C at 2025-08-21 17:46:48 [EXCURSION]
08-25 17:47:56.801 27960 27960 D TemperatureHistoryAnalyzer: Point 192: 28.21°C at 2025-08-21 17:46:58 [EXCURSION]
08-25 17:47:56.801 27960 27960 D TemperatureHistoryAnalyzer: Point 193: 28.29°C at 2025-08-21 17:47:08 [EXCURSION]
08-25 17:47:56.801 27960 27960 D TemperatureHistoryAnalyzer: Point 194: 28.25°C at 2025-08-21 17:47:18 [EXCURSION]
08-25 17:47:56.801 27960 27960 D TemperatureHistoryAnalyzer: Point 195: 28.25°C at 2025-08-21 17:47:28 [EXCURSION]
08-25 17:47:56.801 27960 27960 D TemperatureHistoryAnalyzer: Point 196: 28.25°C at 2025-08-21 17:47:38 [EXCURSION]
