--------- beginning of main
08-25 17:53:06.614 31141 31141 D TemperatureHistoryAnalyzer: Point 189: 27.23°C at 2025-08-21 15:11:25 [EXCURSION]
08-25 17:53:06.614 31141 31141 D TemperatureHistoryAnalyzer: Point 190: 27.23°C at 2025-08-21 15:11:35 [EXCURSION]
08-25 17:53:06.614 31141 31141 D TemperatureHistoryAnalyzer: Point 191: 27.19°C at 2025-08-21 15:11:45 [EXCURSION]
08-25 17:53:06.615 31141 31141 D TemperatureHistoryAnalyzer: Point 192: 27.27°C at 2025-08-21 15:11:55 [EXCURSION]
08-25 17:53:06.615 31141 31141 D TemperatureHistoryAnalyzer: Point 193: 27.23°C at 2025-08-21 15:12:05 [EXCURSION]
08-25 17:53:06.615 31141 31141 D TemperatureHistoryAnalyzer: Point 194: 27.23°C at 2025-08-21 15:12:15 [EXCURSION]
08-25 17:53:06.615 31141 31141 D TemperatureHistoryAnalyzer: Point 195: 27.23°C at 2025-08-21 15:12:25 [EXCURSION]
08-25 17:53:06.615 31141 31141 D TemperatureHistoryAnalyzer: Point 196: 27.23°C at 2025-08-21 15:12:35 [EXCURSION]
08-25 17:53:06.615 31141 31141 D TemperatureHistoryAnalyzer: Point 197: 27.23°C at 2025-08-21 15:12:45 [EXCURSION]
08-25 17:53:06.616 31141 31141 D TemperatureHistoryAnalyzer: Point 198: 27.27°C at 2025-08-21 15:12:55 [EXCURSION]
08-25 17:53:06.616 31141 31141 D TemperatureHistoryAnalyzer: Point 199: 27.23°C at 2025-08-21 15:13:05 [EXCURSION]
08-25 17:53:06.616 31141 31141 D TemperatureHistoryAnalyzer: Point 200: 27.23°C at 2025-08-21 15:13:15 [EXCURSION]
08-25 17:53:06.616 31141 31141 D TemperatureHistoryAnalyzer: Point 201: 27.19°C at 2025-08-21 15:13:25 [EXCURSION]
08-25 17:53:06.616 31141 31141 D TemperatureHistoryAnalyzer: Point 202: 27.27°C at 2025-08-21 15:13:35 [EXCURSION]
08-25 17:53:06.616 31141 31141 D TemperatureHistoryAnalyzer: Point 203: 27.23°C at 2025-08-21 15:13:45 [EXCURSION]
08-25 17:53:06.617 31141 31141 D TemperatureHistoryAnalyzer: Point 204: 27.27°C at 2025-08-21 15:13:55 [EXCURSION]
08-25 17:53:06.617 31141 31141 D TemperatureHistoryAnalyzer: Point 205: 27.23°C at 2025-08-21 15:14:05 [EXCURSION]
08-25 17:53:06.617 31141 31141 D TemperatureHistoryAnalyzer: Point 206: 27.23°C at 2025-08-21 15:14:15 [EXCURSION]
08-25 17:53:06.617 31141 31141 D TemperatureHistoryAnalyzer: Point 207: 27.23°C at 2025-08-21 15:14:25 [EXCURSION]
08-25 17:53:06.617 31141 31141 D TemperatureHistoryAnalyzer: Point 208: 27.27°C at 2025-08-21 15:14:35 [EXCURSION]
08-25 17:53:06.617 31141 31141 D TemperatureHistoryAnalyzer: Point 209: 27.27°C at 2025-08-21 15:14:45 [EXCURSION]
08-25 17:53:06.617 31141 31141 D TemperatureHistoryAnalyzer: Point 210: 27.27°C at 2025-08-21 15:14:55 [EXCURSION]
08-25 17:53:06.618 31141 31141 D TemperatureHistoryAnalyzer: Point 211: 27.27°C at 2025-08-21 15:15:05 [EXCURSION]
08-25 17:53:06.618 31141 31141 D TemperatureHistoryAnalyzer: Point 212: 27.27°C at 2025-08-21 15:15:15 [EXCURSION]
08-25 17:53:06.618 31141 31141 D TemperatureHistoryAnalyzer: Point 213: 27.19°C at 2025-08-21 15:15:25 [EXCURSION]
08-25 17:53:06.618 31141 31141 D TemperatureHistoryAnalyzer: Point 214: 27.23°C at 2025-08-21 15:15:35 [EXCURSION]
08-25 17:53:06.618 31141 31141 D TemperatureHistoryAnalyzer: Point 215: 27.27°C at 2025-08-21 15:15:45 [EXCURSION]
08-25 17:53:06.618 31141 31141 D TemperatureHistoryAnalyzer: Point 216: 27.23°C at 2025-08-21 15:15:55 [EXCURSION]
08-25 17:53:06.619 31141 31141 D TemperatureHistoryAnalyzer: Point 217: 27.27°C at 2025-08-21 15:16:05 [EXCURSION]
08-25 17:53:06.619 31141 31141 D TemperatureHistoryAnalyzer: Point 218: 27.27°C at 2025-08-21 15:16:15 [EXCURSION]
08-25 17:53:06.619 31141 31141 D TemperatureHistoryAnalyzer: Point 219: 27.23°C at 2025-08-21 15:16:25 [EXCURSION]
08-25 17:53:06.619 31141 31141 D TemperatureHistoryAnalyzer: Point 220: 27.27°C at 2025-08-21 15:16:35 [EXCURSION]
08-25 17:53:06.619 31141 31141 D TemperatureHistoryAnalyzer: Point 221: 27.23°C at 2025-08-21 15:16:45 [EXCURSION]
08-25 17:53:06.620 31141 31141 D TemperatureHistoryAnalyzer: Point 222: 27.23°C at 2025-08-21 15:16:55 [EXCURSION]
08-25 17:53:06.620 31141 31141 D TemperatureHistoryAnalyzer: Point 223: 27.27°C at 2025-08-21 15:17:05 [EXCURSION]
08-25 17:53:06.620 31141 31141 D TemperatureHistoryAnalyzer: Point 224: 27.27°C at 2025-08-21 15:17:15 [EXCURSION]
08-25 17:53:06.620 31141 31141 D TemperatureHistoryAnalyzer: Point 225: 27.23°C at 2025-08-21 15:17:25 [EXCURSION]
08-25 17:53:06.620 31141 31141 D TemperatureHistoryAnalyzer: Point 226: 27.27°C at 2025-08-21 15:17:35 [EXCURSION]
08-25 17:53:06.620 31141 31141 D TemperatureHistoryAnalyzer: Point 227: 27.27°C at 2025-08-21 15:17:45 [EXCURSION]
08-25 17:53:06.621 31141 31141 D TemperatureHistoryAnalyzer: Point 228: 27.27°C at 2025-08-21 15:17:55 [EXCURSION]
08-25 17:53:06.621 31141 31141 D TemperatureHistoryAnalyzer: Point 229: 27.27°C at 2025-08-21 15:18:05 [EXCURSION]
08-25 17:53:06.621 31141 31141 D TemperatureHistoryAnalyzer: Point 230: 27.27°C at 2025-08-21 15:18:15 [EXCURSION]
08-25 17:53:06.621 31141 31141 D TemperatureHistoryAnalyzer: Point 231: 27.27°C at 2025-08-21 15:18:25 [EXCURSION]
08-25 17:53:06.621 31141 31141 D TemperatureHistoryAnalyzer: Point 232: 27.27°C at 2025-08-21 15:18:35 [EXCURSION]
08-25 17:53:06.621 31141 31141 D TemperatureHistoryAnalyzer: Point 233: 27.27°C at 2025-08-21 15:18:45 [EXCURSION]
08-25 17:53:06.622 31141 31141 D TemperatureHistoryAnalyzer: Point 234: 27.27°C at 2025-08-21 15:18:55 [EXCURSION]
08-25 17:53:06.622 31141 31141 D TemperatureHistoryAnalyzer: Point 235: 27.27°C at 2025-08-21 15:19:05 [EXCURSION]
08-25 17:53:06.622 31141 31141 D TemperatureHistoryAnalyzer: Point 236: 27.27°C at 2025-08-21 15:19:15 [EXCURSION]
08-25 17:53:06.622 31141 31141 D TemperatureHistoryAnalyzer: Point 237: 27.23°C at 2025-08-21 15:19:25 [EXCURSION]
08-25 17:53:06.622 31141 31141 D TemperatureHistoryAnalyzer: Point 238: 27.27°C at 2025-08-21 15:19:35 [EXCURSION]
08-25 17:53:06.623 31141 31141 D TemperatureHistoryAnalyzer: Point 239: 27.27°C at 2025-08-21 15:19:45 [EXCURSION]
08-25 17:53:06.623 31141 31141 D TemperatureHistoryAnalyzer: Point 240: 27.27°C at 2025-08-21 15:19:55 [EXCURSION]
08-25 17:53:06.623 31141 31141 D TemperatureHistoryAnalyzer: Point 241: 27.27°C at 2025-08-21 15:20:05 [EXCURSION]
08-25 17:53:06.623 31141 31141 D TemperatureHistoryAnalyzer: Point 242: 27.3°C at 2025-08-21 15:20:15 [EXCURSION]
08-25 17:53:06.623 31141 31141 D TemperatureHistoryAnalyzer: Point 243: 27.3°C at 2025-08-21 15:20:25 [EXCURSION]
08-25 17:53:06.623 31141 31141 D TemperatureHistoryAnalyzer: Point 244: 27.27°C at 2025-08-21 15:20:35 [EXCURSION]
08-25 17:53:06.623 31141 31141 D TemperatureHistoryAnalyzer: Point 245: 27.27°C at 2025-08-21 15:20:45 [EXCURSION]
08-25 17:53:06.624 31141 31141 D TemperatureHistoryAnalyzer: Point 246: 27.27°C at 2025-08-21 15:20:55 [EXCURSION]
08-25 17:53:06.624 31141 31141 D TemperatureHistoryAnalyzer: Point 247: 27.27°C at 2025-08-21 15:21:05 [EXCURSION]
08-25 17:53:06.624 31141 31141 D TemperatureHistoryAnalyzer: Point 248: 27.27°C at 2025-08-21 15:21:15 [EXCURSION]
08-25 17:53:06.624 31141 31141 D TemperatureHistoryAnalyzer: Point 249: 27.27°C at 2025-08-21 15:21:25 [EXCURSION]
08-25 17:53:06.624 31141 31141 D TemperatureHistoryAnalyzer: Point 250: 27.27°C at 2025-08-21 15:21:35 [EXCURSION]
08-25 17:53:06.624 31141 31141 D TemperatureHistoryAnalyzer: Point 251: 27.27°C at 2025-08-21 15:21:45 [EXCURSION]
08-25 17:53:06.625 31141 31141 D TemperatureHistoryAnalyzer: Point 252: 27.27°C at 2025-08-21 15:21:55 [EXCURSION]
08-25 17:53:06.625 31141 31141 D TemperatureHistoryAnalyzer: Point 253: 27.3°C at 2025-08-21 15:22:05 [EXCURSION]
08-25 17:53:06.625 31141 31141 D TemperatureHistoryAnalyzer: Point 254: 27.27°C at 2025-08-21 15:22:15 [EXCURSION]
08-25 17:53:06.625 31141 31141 D TemperatureHistoryAnalyzer: Point 255: 27.3°C at 2025-08-21 15:22:25 [EXCURSION]
08-25 17:53:06.625 31141 31141 D TemperatureHistoryAnalyzer: Point 256: 27.27°C at 2025-08-21 15:22:35 [EXCURSION]
08-25 17:53:06.625 31141 31141 D TemperatureHistoryAnalyzer: Point 257: 27.27°C at 2025-08-21 15:22:45 [EXCURSION]
08-25 17:53:06.626 31141 31141 D TemperatureHistoryAnalyzer: Point 258: 27.27°C at 2025-08-21 15:22:55 [EXCURSION]
08-25 17:53:06.626 31141 31141 D TemperatureHistoryAnalyzer: Point 259: 27.27°C at 2025-08-21 15:23:05 [EXCURSION]
08-25 17:53:06.626 31141 31141 D TemperatureHistoryAnalyzer: Point 260: 27.27°C at 2025-08-21 15:23:15 [EXCURSION]
08-25 17:53:06.626 31141 31141 D TemperatureHistoryAnalyzer: Point 261: 27.27°C at 2025-08-21 15:23:25 [EXCURSION]
08-25 17:53:06.626 31141 31141 D TemperatureHistoryAnalyzer: Point 262: 27.27°C at 2025-08-21 15:23:35 [EXCURSION]
08-25 17:53:06.626 31141 31141 D TemperatureHistoryAnalyzer: Point 263: 27.27°C at 2025-08-21 15:23:45 [EXCURSION]
08-25 17:53:06.627 31141 31141 D TemperatureHistoryAnalyzer: Point 264: 27.27°C at 2025-08-21 15:23:55 [EXCURSION]
08-25 17:53:06.627 31141 31141 D TemperatureHistoryAnalyzer: Point 265: 27.27°C at 2025-08-21 15:24:05 [EXCURSION]
08-25 17:53:06.627 31141 31141 D TemperatureHistoryAnalyzer: Point 266: 27.27°C at 2025-08-21 15:24:15 [EXCURSION]
08-25 17:53:06.627 31141 31141 D TemperatureHistoryAnalyzer: Point 267: 27.27°C at 2025-08-21 15:24:25 [EXCURSION]
08-25 17:53:06.627 31141 31141 D TemperatureHistoryAnalyzer: Point 268: 27.3°C at 2025-08-21 15:24:35 [EXCURSION]
08-25 17:53:06.627 31141 31141 D TemperatureHistoryAnalyzer: Point 269: 27.27°C at 2025-08-21 15:24:45 [EXCURSION]
08-25 17:53:06.628 31141 31141 D TemperatureHistoryAnalyzer: Point 270: 27.27°C at 2025-08-21 15:24:55 [EXCURSION]
08-25 17:53:06.628 31141 31141 D TemperatureHistoryAnalyzer: Point 271: 27.27°C at 2025-08-21 15:25:05 [EXCURSION]
08-25 17:53:06.628 31141 31141 D TemperatureHistoryAnalyzer: Point 272: 27.27°C at 2025-08-21 15:25:15 [EXCURSION]
08-25 17:53:06.628 31141 31141 D TemperatureHistoryAnalyzer: Point 273: 27.3°C at 2025-08-21 15:25:25 [EXCURSION]
08-25 17:53:06.628 31141 31141 D TemperatureHistoryAnalyzer: Point 274: 27.3°C at 2025-08-21 15:25:35 [EXCURSION]
08-25 17:53:06.628 31141 31141 D TemperatureHistoryAnalyzer: Point 275: 27.27°C at 2025-08-21 15:25:45 [EXCURSION]
08-25 17:53:06.628 31141 31141 D TemperatureHistoryAnalyzer: Point 276: 27.27°C at 2025-08-21 15:25:55 [EXCURSION]
08-25 17:53:06.629 31141 31141 D TemperatureHistoryAnalyzer: Point 277: 27.27°C at 2025-08-21 15:26:05 [EXCURSION]
08-25 17:53:06.629 31141 31141 D TemperatureHistoryAnalyzer: Point 278: 27.27°C at 2025-08-21 15:26:15 [EXCURSION]
08-25 17:53:06.629 31141 31141 D TemperatureHistoryAnalyzer: Point 279: 27.27°C at 2025-08-21 15:26:25 [EXCURSION]
08-25 17:53:06.629 31141 31141 D TemperatureHistoryAnalyzer: Point 280: 27.34°C at 2025-08-21 15:26:35 [EXCURSION]
08-25 17:53:06.629 31141 31141 D TemperatureHistoryAnalyzer: Point 281: 27.3°C at 2025-08-21 15:26:45 [EXCURSION]
08-25 17:53:06.629 31141 31141 D TemperatureHistoryAnalyzer: Point 282: 27.27°C at 2025-08-21 15:26:55 [EXCURSION]
08-25 17:53:06.630 31141 31141 D TemperatureHistoryAnalyzer: Point 283: 27.34°C at 2025-08-21 15:27:05 [EXCURSION]
08-25 17:53:06.630 31141 31141 D TemperatureHistoryAnalyzer: Point 284: 27.27°C at 2025-08-21 15:27:15 [EXCURSION]
08-25 17:53:06.630 31141 31141 D TemperatureHistoryAnalyzer: Point 285: 27.3°C at 2025-08-21 15:27:25 [EXCURSION]
08-25 17:53:06.630 31141 31141 D TemperatureHistoryAnalyzer: Point 286: 27.27°C at 2025-08-21 15:27:35 [EXCURSION]
08-25 17:53:06.630 31141 31141 D TemperatureHistoryAnalyzer: Point 287: 27.3°C at 2025-08-21 15:27:45 [EXCURSION]
08-25 17:53:06.630 31141 31141 D TemperatureHistoryAnalyzer: Point 288: 27.34°C at 2025-08-21 15:27:55 [EXCURSION]
08-25 17:53:06.631 31141 31141 D TemperatureHistoryAnalyzer: Point 289: 27.34°C at 2025-08-21 15:28:05 [EXCURSION]
08-25 17:53:06.631 31141 31141 D TemperatureHistoryAnalyzer: Point 290: 27.3°C at 2025-08-21 15:28:15 [EXCURSION]
08-25 17:53:06.631 31141 31141 D TemperatureHistoryAnalyzer: Point 291: 27.27°C at 2025-08-21 15:28:25 [EXCURSION]
08-25 17:53:06.631 31141 31141 D TemperatureHistoryAnalyzer: Point 292: 27.27°C at 2025-08-21 15:28:35 [EXCURSION]
08-25 17:53:06.631 31141 31141 D TemperatureHistoryAnalyzer: Point 293: 27.3°C at 2025-08-21 15:28:45 [EXCURSION]
08-25 17:53:06.631 31141 31141 D TemperatureHistoryAnalyzer: Point 294: 27.3°C at 2025-08-21 15:28:55 [EXCURSION]
08-25 17:53:06.631 31141 31141 D TemperatureHistoryAnalyzer: Point 295: 27.34°C at 2025-08-21 15:29:05 [EXCURSION]
08-25 17:53:06.632 31141 31141 D TemperatureHistoryAnalyzer: Point 296: 27.3°C at 2025-08-21 15:29:15 [EXCURSION]
08-25 17:53:06.632 31141 31141 D TemperatureHistoryAnalyzer: Point 297: 27.3°C at 2025-08-21 15:29:25 [EXCURSION]
08-25 17:53:07.553 31141 31141 D TemperatureHistoryAnalyzer: Point 9384: 26.22°C at 2025-08-23 12:49:31 [EXCURSION]
08-25 17:53:07.554 31141 31141 D TemperatureHistoryAnalyzer: Point 9385: 26.22°C at 2025-08-23 12:49:41 [EXCURSION]
08-25 17:53:07.554 31141 31141 D TemperatureHistoryAnalyzer: Point 9386: 26.18°C at 2025-08-23 12:49:51 [EXCURSION]
08-25 17:53:07.554 31141 31141 D TemperatureHistoryAnalyzer: Point 9387: 26.22°C at 2025-08-23 12:50:01 [EXCURSION]
08-25 17:53:07.554 31141 31141 D TemperatureHistoryAnalyzer: Point 9388: 26.22°C at 2025-08-23 12:50:11 [EXCURSION]
08-25 17:53:07.554 31141 31141 D TemperatureHistoryAnalyzer: Point 9389: 26.22°C at 2025-08-23 12:50:21 [EXCURSION]
08-25 17:53:07.555 31141 31141 D TemperatureHistoryAnalyzer: Point 9390: 26.26°C at 2025-08-23 12:50:31 [EXCURSION]
08-25 17:53:07.555 31141 31141 D TemperatureHistoryAnalyzer: Point 9391: 26.22°C at 2025-08-23 12:50:41 [EXCURSION]
08-25 17:53:07.555 31141 31141 D TemperatureHistoryAnalyzer: Point 9392: 26.22°C at 2025-08-23 12:50:51 [EXCURSION]
08-25 17:53:07.555 31141 31141 D TemperatureHistoryAnalyzer: Point 9393: 26.22°C at 2025-08-23 12:51:01 [EXCURSION]
08-25 17:53:07.555 31141 31141 D TemperatureHistoryAnalyzer: Point 9394: 26.22°C at 2025-08-23 12:51:11 [EXCURSION]
08-25 17:53:07.555 31141 31141 D TemperatureHistoryAnalyzer: Point 9395: 26.26°C at 2025-08-23 12:51:21 [EXCURSION]
08-25 17:53:07.555 31141 31141 D TemperatureHistoryAnalyzer: Point 9396: 26.22°C at 2025-08-23 12:51:31 [EXCURSION]
08-25 17:53:07.555 31141 31141 D TemperatureHistoryAnalyzer: Point 9397: 26.22°C at 2025-08-23 12:51:41 [EXCURSION]
08-25 17:53:07.556 31141 31141 D TemperatureHistoryAnalyzer: Point 9398: 26.18°C at 2025-08-23 12:51:51 [EXCURSION]
08-25 17:53:07.556 31141 31141 D TemperatureHistoryAnalyzer: Point 9399: 26.22°C at 2025-08-23 12:52:01 [EXCURSION]
08-25 17:53:07.556 31141 31141 D TemperatureHistoryAnalyzer: Point 9400: 26.18°C at 2025-08-23 12:52:11 [EXCURSION]
08-25 17:53:07.556 31141 31141 D TemperatureHistoryAnalyzer: Point 9401: 26.18°C at 2025-08-23 12:52:21 [EXCURSION]
08-25 17:53:07.556 31141 31141 D TemperatureHistoryAnalyzer: Point 9402: 26.18°C at 2025-08-23 12:52:31 [EXCURSION]
08-25 17:53:07.556 31141 31141 D TemperatureHistoryAnalyzer: Point 9403: 26.26°C at 2025-08-23 12:52:41 [EXCURSION]
08-25 17:53:07.556 31141 31141 D TemperatureHistoryAnalyzer: Point 9404: 26.22°C at 2025-08-23 12:52:51 [EXCURSION]
08-25 17:53:07.557 31141 31141 D TemperatureHistoryAnalyzer: Point 9405: 26.18°C at 2025-08-23 12:53:01 [EXCURSION]
08-25 17:53:07.557 31141 31141 D TemperatureHistoryAnalyzer: Point 9406: 26.22°C at 2025-08-23 12:53:11 [EXCURSION]
08-25 17:53:07.557 31141 31141 D TemperatureHistoryAnalyzer: Point 9407: 26.22°C at 2025-08-23 12:53:21 [EXCURSION]
08-25 17:53:07.557 31141 31141 D TemperatureHistoryAnalyzer: Point 9408: 26.22°C at 2025-08-23 12:53:31 [EXCURSION]
08-25 17:53:07.557 31141 31141 D TemperatureHistoryAnalyzer: Point 9409: 26.22°C at 2025-08-23 12:53:41 [EXCURSION]
08-25 17:53:07.557 31141 31141 D TemperatureHistoryAnalyzer: Point 9410: 26.18°C at 2025-08-23 12:53:51 [EXCURSION]
08-25 17:53:07.558 31141 31141 D TemperatureHistoryAnalyzer: Point 9411: 26.22°C at 2025-08-23 12:54:01 [EXCURSION]
08-25 17:53:07.558 31141 31141 D TemperatureHistoryAnalyzer: Point 9412: 26.18°C at 2025-08-23 12:54:11 [EXCURSION]
08-25 17:53:07.558 31141 31141 D TemperatureHistoryAnalyzer: Point 9413: 26.22°C at 2025-08-23 12:54:21 [EXCURSION]
08-25 17:53:07.558 31141 31141 D TemperatureHistoryAnalyzer: Point 9414: 26.22°C at 2025-08-23 12:54:31 [EXCURSION]
08-25 17:53:07.558 31141 31141 D TemperatureHistoryAnalyzer: Point 9415: 26.22°C at 2025-08-23 12:54:41 [EXCURSION]
08-25 17:53:07.558 31141 31141 D TemperatureHistoryAnalyzer: Point 9416: 26.18°C at 2025-08-23 12:54:51 [EXCURSION]
08-25 17:53:07.559 31141 31141 D TemperatureHistoryAnalyzer: Point 9417: 26.18°C at 2025-08-23 12:55:01 [EXCURSION]
08-25 17:53:07.559 31141 31141 D TemperatureHistoryAnalyzer: Point 9418: 26.22°C at 2025-08-23 12:55:11 [EXCURSION]
08-25 17:53:07.559 31141 31141 D TemperatureHistoryAnalyzer: Point 9419: 26.18°C at 2025-08-23 12:55:21 [EXCURSION]
08-25 17:53:07.559 31141 31141 D TemperatureHistoryAnalyzer: Point 9420: 26.22°C at 2025-08-23 12:55:31 [EXCURSION]
08-25 17:53:07.559 31141 31141 D TemperatureHistoryAnalyzer: Point 9421: 26.22°C at 2025-08-23 12:55:41 [EXCURSION]
08-25 17:53:07.559 31141 31141 D TemperatureHistoryAnalyzer: Point 9422: 26.18°C at 2025-08-23 12:55:51 [EXCURSION]
08-25 17:53:07.559 31141 31141 D TemperatureHistoryAnalyzer: Point 9423: 26.18°C at 2025-08-23 12:56:01 [EXCURSION]
08-25 17:53:07.559 31141 31141 D TemperatureHistoryAnalyzer: Point 9424: 26.18°C at 2025-08-23 12:56:11 [EXCURSION]
08-25 17:53:07.560 31141 31141 D TemperatureHistoryAnalyzer: Point 9425: 26.18°C at 2025-08-23 12:56:21 [EXCURSION]
08-25 17:53:07.560 31141 31141 D TemperatureHistoryAnalyzer: Point 9426: 26.22°C at 2025-08-23 12:56:31 [EXCURSION]
08-25 17:53:07.560 31141 31141 D TemperatureHistoryAnalyzer: Point 9427: 26.18°C at 2025-08-23 12:56:41 [EXCURSION]
08-25 17:53:07.560 31141 31141 D TemperatureHistoryAnalyzer: Point 9428: 26.15°C at 2025-08-23 12:56:51 [EXCURSION]
08-25 17:53:07.560 31141 31141 D TemperatureHistoryAnalyzer: Point 9429: 26.18°C at 2025-08-23 12:57:01 [EXCURSION]
08-25 17:53:07.560 31141 31141 D TemperatureHistoryAnalyzer: Point 9430: 26.18°C at 2025-08-23 12:57:11 [EXCURSION]
08-25 17:53:07.560 31141 31141 D TemperatureHistoryAnalyzer: Point 9431: 26.15°C at 2025-08-23 12:57:21 [EXCURSION]
08-25 17:53:07.561 31141 31141 D TemperatureHistoryAnalyzer: Point 9432: 26.18°C at 2025-08-23 12:57:31 [EXCURSION]
08-25 17:53:07.561 31141 31141 D TemperatureHistoryAnalyzer: Point 9433: 26.18°C at 2025-08-23 12:57:41 [EXCURSION]
08-25 17:53:07.561 31141 31141 D TemperatureHistoryAnalyzer: Point 9434: 26.18°C at 2025-08-23 12:57:51 [EXCURSION]
08-25 17:53:07.561 31141 31141 D TemperatureHistoryAnalyzer: Point 9435: 26.18°C at 2025-08-23 12:58:01 [EXCURSION]
08-25 17:53:07.561 31141 31141 D TemperatureHistoryAnalyzer: Point 9436: 26.18°C at 2025-08-23 12:58:11 [EXCURSION]
08-25 17:53:07.561 31141 31141 D TemperatureHistoryAnalyzer: Point 9437: 26.18°C at 2025-08-23 12:58:21 [EXCURSION]
08-25 17:53:07.561 31141 31141 D TemperatureHistoryAnalyzer: Point 9438: 26.18°C at 2025-08-23 12:58:31 [EXCURSION]
08-25 17:53:07.562 31141 31141 D TemperatureHistoryAnalyzer: Point 9439: 26.18°C at 2025-08-23 12:58:41 [EXCURSION]
08-25 17:53:07.562 31141 31141 D TemperatureHistoryAnalyzer: Point 9440: 26.22°C at 2025-08-23 12:58:51 [EXCURSION]
08-25 17:53:07.562 31141 31141 D TemperatureHistoryAnalyzer: Point 9441: 26.18°C at 2025-08-23 12:59:01 [EXCURSION]
08-25 17:53:07.562 31141 31141 D TemperatureHistoryAnalyzer: Point 9442: 26.18°C at 2025-08-23 12:59:11 [EXCURSION]
08-25 17:53:07.562 31141 31141 D TemperatureHistoryAnalyzer: Point 9443: 26.22°C at 2025-08-23 12:59:21 [EXCURSION]
08-25 17:53:07.562 31141 31141 D TemperatureHistoryAnalyzer: Point 9444: 26.15°C at 2025-08-23 12:59:31 [EXCURSION]
08-25 17:53:07.563 31141 31141 D TemperatureHistoryAnalyzer: Point 9445: 26.18°C at 2025-08-23 12:59:41 [EXCURSION]
08-25 17:53:07.563 31141 31141 D TemperatureHistoryAnalyzer: Point 9446: 26.15°C at 2025-08-23 12:59:51 [EXCURSION]
08-25 17:53:07.563 31141 31141 D TemperatureHistoryAnalyzer: Point 9447: 26.18°C at 2025-08-23 13:00:01 [EXCURSION]
08-25 17:53:07.563 31141 31141 D TemperatureHistoryAnalyzer: Point 9448: 26.15°C at 2025-08-23 13:00:11 [EXCURSION]
08-25 17:53:07.563 31141 31141 D TemperatureHistoryAnalyzer: Point 9449: 26.15°C at 2025-08-23 13:00:21 [EXCURSION]
08-25 17:53:07.563 31141 31141 D TemperatureHistoryAnalyzer: Point 9450: 26.15°C at 2025-08-23 13:00:31 [EXCURSION]
08-25 17:53:07.563 31141 31141 D TemperatureHistoryAnalyzer: Point 9451: 26.18°C at 2025-08-23 13:00:41 [EXCURSION]
08-25 17:53:07.563 31141 31141 D TemperatureHistoryAnalyzer: Point 9452: 26.15°C at 2025-08-23 13:00:51 [EXCURSION]
08-25 17:53:07.564 31141 31141 D TemperatureHistoryAnalyzer: Point 9453: 26.18°C at 2025-08-23 13:01:01 [EXCURSION]
08-25 17:53:07.564 31141 31141 D TemperatureHistoryAnalyzer: Point 9454: 26.15°C at 2025-08-23 13:01:11 [EXCURSION]
08-25 17:53:07.564 31141 31141 D TemperatureHistoryAnalyzer: Point 9455: 26.18°C at 2025-08-23 13:01:21 [EXCURSION]
08-25 17:53:07.564 31141 31141 D TemperatureHistoryAnalyzer: Point 9456: 26.15°C at 2025-08-23 13:01:31 [EXCURSION]
08-25 17:53:07.564 31141 31141 D TemperatureHistoryAnalyzer: Point 9457: 26.15°C at 2025-08-23 13:01:41 [EXCURSION]
08-25 17:53:07.564 31141 31141 D TemperatureHistoryAnalyzer: Point 9458: 26.18°C at 2025-08-23 13:01:51 [EXCURSION]
08-25 17:53:07.564 31141 31141 D TemperatureHistoryAnalyzer: Point 9459: 26.18°C at 2025-08-23 13:02:01 [EXCURSION]
08-25 17:53:07.564 31141 31141 D TemperatureHistoryAnalyzer: Point 9460: 26.18°C at 2025-08-23 13:02:11 [EXCURSION]
08-25 17:53:07.565 31141 31141 D TemperatureHistoryAnalyzer: Point 9461: 26.15°C at 2025-08-23 13:02:21 [EXCURSION]
08-25 17:53:07.565 31141 31141 D TemperatureHistoryAnalyzer: Point 9462: 26.18°C at 2025-08-23 13:02:31 [EXCURSION]
08-25 17:53:07.565 31141 31141 D TemperatureHistoryAnalyzer: Point 9463: 26.15°C at 2025-08-23 13:02:41 [EXCURSION]
08-25 17:53:07.565 31141 31141 D TemperatureHistoryAnalyzer: Point 9464: 26.15°C at 2025-08-23 13:02:51 [EXCURSION]
08-25 17:53:07.565 31141 31141 D TemperatureHistoryAnalyzer: Point 9465: 26.11°C at 2025-08-23 13:03:01 [EXCURSION]
08-25 17:53:07.565 31141 31141 D TemperatureHistoryAnalyzer: Point 9466: 26.11°C at 2025-08-23 13:03:11 [EXCURSION]
08-25 17:53:07.565 31141 31141 D TemperatureHistoryAnalyzer: Point 9467: 26.15°C at 2025-08-23 13:03:21 [EXCURSION]
08-25 17:53:07.566 31141 31141 D TemperatureHistoryAnalyzer: Point 9468: 26.15°C at 2025-08-23 13:03:31 [EXCURSION]
08-25 17:53:07.566 31141 31141 D TemperatureHistoryAnalyzer: Point 9469: 26.15°C at 2025-08-23 13:03:41 [EXCURSION]
08-25 17:53:07.566 31141 31141 D TemperatureHistoryAnalyzer: Point 9470: 26.15°C at 2025-08-23 13:03:51 [EXCURSION]
08-25 17:53:07.566 31141 31141 D TemperatureHistoryAnalyzer: Point 9471: 26.15°C at 2025-08-23 13:04:01 [EXCURSION]
08-25 17:53:07.566 31141 31141 D TemperatureHistoryAnalyzer: Point 9472: 26.15°C at 2025-08-23 13:04:11 [EXCURSION]
